Nome,Data,ValorKB,ValorPC,ValorNE
Xbox Series S,2022-04-01 00:00:00,R$ 2750.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-01 00:00:00,R$ 6150.00,R$ 2859.50,R$ 3750.00
"TV Samsung T5300 43""",2022-04-01 00:00:00,R$ 3000.00,R$ 3000.00,R$ 660.00
Nintendo Switch,2022-04-01 00:00:00,R$ 960.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-01 01:00:00,R$ 2750.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-01 01:00:00,R$ 2460.00,R$ 2859.50,R$ 3750.00
"TV Samsung T5300 43""",2022-04-01 01:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 01:00:00,R$ 1641.60,R$ 920.00,R$ 1390.00
Xbox Series S,2022-04-01 02:00:00,R$ 2750.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-01 02:00:00,R$ 4182.00,R$ 4889.74,R$ 3750.00
"TV Samsung T5300 43""",2022-04-01 02:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 02:00:00,R$ 1641.60,R$ 920.00,R$ 1834.80
Xbox Series S,2022-04-01 03:00:00,R$ 2750.00,R$ 2500.00,R$ 1457.50
iPhone 11 64GB,2022-04-01 03:00:00,R$ 6150.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 03:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 03:00:00,R$ 1247.62,R$ 1214.40,R$ 1284.36
Xbox Series S,2022-04-01 04:00:00,R$ 2750.00,R$ 2500.00,R$ 1457.50
iPhone 11 64GB,2022-04-01 04:00:00,R$ 5350.50,R$ 5785.50,R$ 3000.00
"TV Samsung T5300 43""",2022-04-01 04:00:00,R$ 1530.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-01 04:00:00,R$ 1247.62,R$ 920.00,R$ 1554.08
Xbox Series S,2022-04-01 05:00:00,R$ 2750.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-01 05:00:00,R$ 6150.00,R$ 6650.00,R$ 4080.00
"TV Samsung T5300 43""",2022-04-01 05:00:00,R$ 2325.60,R$ 3000.00,R$ 1008.00
